match_id,game_duration,queue,game_mode,surrendered,team_100_wins,gold_diff_1,gold_diff_2,gold_diff_3,gold_diff_4,gold_diff_5,gold_diff_6,gold_diff_7,gold_diff_8,gold_diff_9,gold_diff_10,gold_diff_11,gold_diff_12,gold_diff_13,gold_diff_14,gold_diff_15,first_blood,first_tower,first_dragon,first_herald,towers_taken,dragons_taken,heralds_taken,barons_taken,inhibitors_taken,objectives_count,gold_lead_early,gold_lead_mid,gold_lead_late,objective_advantage
",NA1_5288540536",1920,",420",",CLASSIC",0,0,0,-17,-415,-1077,-1386,-1441,-1914,-2567,-2465,-2603,-3555,-3156,-4551,-3535,-3562,0,0,-1,0,0,-3,0,0,0,6,-1386,-1217,-959,-9
",NA1_5289269307",1748,",420",",CLASSIC",0,1,0,-57,346,621,-29,-219,-141,-851,-559,-969,-1080,1495,1665,2067,890,0,0,-1,0,0,-3,0,0,0,8,-29,-940,1859,-9
",NA1_5290004842",2149,",420",",CLASSIC",0,1,-21,59,83,-329,-149,-770,-1370,-1987,-1856,-3051,-3651,-3955,-3175,-1730,-3641,0,0,-1,0,0,-1,0,0,0,4,-149,-2902,-590,-3
",NA1_5290705430",1266,",420",",CLASSIC",0,1,0,-29,102,470,549,889,1175,1379,1839,3880,3939,5141,6160,8500,9747,0,0,-1,0,0,-3,0,0,0,7,549,3331,5867,-9
",NA1_5291468121",1204,",420",",CLASSIC",0,1,0,-51,495,1537,2151,2295,2389,2565,3035,2217,3844,3833,3947,3953,4541,0,0,-1,0,0,-3,0,0,0,6,2151,66,2324,-9
",NA1_5291966204",916,",420",",CLASSIC",0,1,5,-64,243,830,849,690,1540,1781,3423,4143,4991,5045,6869,7486,9507,0,0,-1,0,0,-1,0,0,0,4,849,3294,5364,-3
",NA1_5292198084",1865,",420",",CLASSIC",0,0,424,410,395,-234,-70,-625,-678,-1099,-920,-1303,-2506,-1372,-2156,-2799,-760,0,0,-1,0,0,-1,0,0,0,3,-70,-1233,543,-3
",NA1_5292456286",990,",420",",CLASSIC",0,1,0,128,241,129,122,778,837,1652,1424,2363,3250,1965,2732,4422,3646,0,0,-1,0,0,-3,0,0,0,4,122,2241,1283,-9
",NA1_5292476055",969,",420",",CLASSIC",0,0,-12,-62,-109,-864,-889,-2072,-3184,-2745,-3837,-4007,-5090,-5407,-6748,-6712,-5360,0,0,-1,0,0,-3,0,0,0,6,-889,-3118,-1353,-9
",NA1_5294669891",1248,",420",",CLASSIC",0,0,0,-36,33,-112,169,-393,-1470,-1021,-2010,-2501,-3124,-3903,-4564,-5227,-5359,0,0,-1,0,0,-1,0,0,0,3,169,-2670,-2858,-3
",NA1_5295522910",911,",420",",CLASSIC",0,0,0,-14,-141,794,238,521,57,-1220,-1602,-1324,-2810,-3085,-5682,-7410,-9258,0,0,-1,0,0,-3,0,0,0,7,238,-1562,-7934,-9
",NA1_5296037391",2134,",420",",CLASSIC",0,0,0,-18,-185,185,-304,-452,180,282,888,177,72,1941,3313,2345,1515,0,0,-1,0,0,-3,0,0,0,3,-304,481,1338,-9
",NA1_5296546066",1314,",420",",CLASSIC",0,1,0,48,272,646,506,608,658,1890,1876,2734,2757,3062,4414,5234,7047,0,0,-1,0,0,-1,0,0,0,4,506,2228,4313,-3
",NA1_5297229937",1736,",420",",CLASSIC",0,0,0,-27,-43,-191,92,-393,-232,-698,-1479,-1484,-1683,379,1337,2855,2841,0,0,-1,0,0,-3,0,0,0,4,92,-1576,4325,-9
",NA1_5298009037",1934,",420",",CLASSIC",0,0,0,-22,448,181,-107,-377,-1449,-599,-1161,-1099,-1271,-1149,-2614,-1713,-976,0,0,-1,0,0,-1,0,0,0,1,-107,-992,123,-3
",NA1_5298702986",1360,",420",",CLASSIC",0,1,0,65,743,1125,731,1459,2189,1508,1640,3286,2653,3230,5554,6339,7206,0,0,-1,0,0,-3,0,0,0,6,731,2555,3920,-9
",NA1_5299363459",1398,",420",",CLASSIC",0,1,0,-82,-603,-1868,-1615,-996,-687,453,622,1579,1573,1558,2118,2636,3470,0,0,-1,0,0,-1,0,0,0,3,-1615,3194,1891,-3
",NA1_5300028393",1722,",420",",CLASSIC",0,0,0,-79,18,-37,366,833,717,1732,2366,2564,694,576,-743,-403,554,0,0,-1,0,0,-1,0,0,0,4,366,2198,-2010,-3
",NA1_5300423406",1772,",420",",CLASSIC",0,1,0,41,-274,-190,-410,-547,-897,-1175,-273,-943,813,-90,-1166,-872,883,0,0,-1,0,0,-3,0,0,0,6,-410,-533,1826,-9
",NA1_5300954004",1655,",420",",CLASSIC",0,1,0,70,92,658,592,835,30,397,1588,2136,3381,3278,4872,2158,2571,0,0,-1,0,0,-3,0,0,0,8,592,1544,435,-9
",NA1_5301030753",1780,",420",",CLASSIC",0,1,5,19,280,155,-1012,-985,-1864,-1398,-640,-458,-678,526,1024,836,1116,0,0,-1,0,0,-3,0,0,0,6,-1012,554,1574,-9
",NA1_5301073282",1679,",420",",CLASSIC",0,1,0,82,-314,188,357,158,346,-298,-831,-713,-537,-2020,277,-426,-1591,0,0,-1,0,0,-3,0,0,0,6,357,-1070,-878,-9
",NA1_5301222626",1645,",420",",CLASSIC",0,1,0,71,-15,558,537,1285,2031,1383,-53,33,-313,-1092,-314,-203,579,0,0,-1,0,0,-1,0,0,0,5,537,-504,546,-3
",NA1_5301251110",1764,",420",",CLASSIC",0,1,5,27,490,-191,-5,235,895,712,1648,1484,2388,3009,2933,2702,2011,0,0,-1,0,0,-1,0,0,0,6,-5,1489,527,-3
",NA1_5301279458",1364,",420",",CLASSIC",0,1,0,6,340,334,399,106,-79,-94,-102,60,1415,1217,1748,1785,2766,0,0,-1,0,0,-1,0,0,0,4,399,-339,2706,-3
",NA1_5301300921",925,",420",",CLASSIC",0,1,10,116,338,913,1170,1314,1948,2645,2495,3465,3945,4858,6928,7587,8477,0,0,-1,0,0,-1,0,0,0,4,1170,2295,5012,-3
",NA1_5301356596",1459,",420",",CLASSIC",0,1,5,66,332,66,-535,-181,51,-358,275,-134,582,1432,790,3309,4179,0,0,-1,0,0,-1,0,0,0,5,-535,401,4313,-3
",NA1_5301376526",2171,",420",",CLASSIC",0,1,-10,-422,-112,-984,-910,-1029,-1214,-616,-441,-1757,-2792,-2840,-885,-1245,377,0,0,-1,0,0,-3,0,0,0,5,-910,-847,2134,-9
",NA1_5301747225",1634,",420",",CLASSIC",0,1,0,-19,-120,-690,-621,-308,-308,-741,-481,-1280,-1728,-1366,-1220,-789,-710,0,0,-1,0,0,-3,0,0,0,5,-621,-659,570,-9
",NA1_5301801381",1526,",420",",CLASSIC",0,1,-15,-3,143,646,-45,274,112,-93,1240,1908,780,1114,1062,2359,2863,0,0,-1,0,0,-3,0,0,0,6,-45,1953,955,-9
",NA1_5301869855",1805,",420",",CLASSIC",0,1,0,-54,-57,-637,-459,-634,304,161,-953,-2013,-1346,-1610,-209,-753,-440,0,0,-1,0,0,-3,0,0,0,5,-459,-1554,1573,-9
",NA1_5301901032",916,",420",",CLASSIC",0,1,0,-28,446,1233,1507,1754,2915,3042,4162,4797,5092,6499,7258,8377,9811,0,0,-1,0,0,-3,0,0,0,6,1507,3290,5014,-9
",NA1_5301914579",1560,",420",",CLASSIC",0,1,0,-270,-168,89,106,-151,496,1549,1340,1894,2061,2182,3037,3866,3186,0,0,-1,0,0,-3,0,0,0,6,106,1788,1292,-9
",NA1_5301928726",1409,",420",",CLASSIC",0,1,1,30,-29,147,275,173,593,-12,34,96,-148,196,879,1631,2226,0,0,-1,0,0,-3,0,0,0,4,275,-179,2130,-9
",NA1_5301945715",1643,",420",",CLASSIC",0,1,0,116,657,1417,1205,1509,1574,1631,1376,2699,2656,2442,4386,4476,4533,0,0,-1,0,0,-3,0,0,0,7,1205,1494,1834,-9
",NA1_5301959607",1893,",420",",CLASSIC",0,0,0,84,224,-879,-1465,-898,-515,-1481,-1974,-1906,-2082,-3086,-2946,-3880,-835,0,0,-1,0,0,-3,0,0,0,5,-1465,-441,1071,-9
",NA1_5302233142",1710,",420",",CLASSIC",0,1,0,-52,-335,-51,193,392,630,1880,984,2254,2836,3227,2262,2752,2621,0,0,-1,0,0,-1,0,0,0,3,193,2061,367,-3
",NA1_5302239084",1593,",420",",CLASSIC",0,1,11,35,135,419,350,866,749,969,1820,1602,1363,990,1144,1965,2068,0,0,-1,0,0,-1,0,0,0,5,350,1252,466,-3
",NA1_5302326705",1110,",420",",CLASSIC",0,1,0,419,279,569,1493,555,177,-41,215,2199,2848,3309,5444,5614,7940,0,0,-1,0,0,-3,0,0,0,5,1493,706,5741,-9
",NA1_5302351464",1655,",420",",CLASSIC",0,0,0,-26,-708,-1389,-1112,-1088,-591,-730,-1134,-1500,-1453,-2568,-3910,-5172,-4332,0,0,-1,0,0,-3,0,0,0,7,-1112,-388,-2832,-9
",NA1_5302379468",1520,",420",",CLASSIC",0,1,0,-75,155,-474,-275,-155,413,276,831,-284,28,2078,2086,1536,1963,0,0,-1,0,0,-3,0,0,0,4,-275,-9,2247,-9
",NA1_5302386027",2065,",420",",CLASSIC",0,0,5,129,1673,1014,2061,1031,1613,1236,2591,2579,2214,2399,1537,3361,2266,0,0,-1,0,0,-1,0,0,0,5,2061,518,-313,-3
",NA1_5302450658",1779,",420",",CLASSIC",0,0,0,56,-147,-307,-650,186,-459,-706,-2172,-1748,-997,-1201,1084,167,-73,0,0,-1,0,0,-3,0,0,0,6,-650,-1098,1675,-9
",NA1_5302505883",1618,",420",",CLASSIC",0,0,0,-51,-22,487,573,796,687,829,1234,2148,2215,620,569,310,1332,0,0,-1,0,0,-3,0,0,0,4,573,1575,-816,-9
",NA1_5302535071",935,",420",",CLASSIC",0,1,0,-45,-39,287,-848,-426,-48,1017,1533,1771,2675,3717,2912,4132,5210,0,0,-1,0,0,-1,0,0,0,3,-848,2619,3439,-3
",NA1_5302558458",2076,",420",",CLASSIC",0,1,-375,-293,-434,-1092,-724,-881,-1083,-239,-1498,-1447,-1006,-318,620,468,1891,0,0,-1,0,0,-3,0,0,0,4,-724,-723,3338,-9
",NA1_5302586400",1733,",420",",CLASSIC",0,0,0,-7,142,-642,-90,357,1020,923,955,1431,1766,3286,4394,4536,4192,0,0,-1,0,0,-3,0,0,0,7,-90,1521,2761,-9
",NA1_5302603477",1277,",420",",CLASSIC",0,1,-395,-292,-395,-36,-278,366,638,832,887,887,692,395,1992,1371,1303,0,0,-1,0,0,-3,0,0,0,7,-278,1165,416,-9
",NA1_5302740810",1194,",420",",CLASSIC",0,0,0,-748,-1429,-1100,-1481,-1764,-3016,-1943,-1822,-3533,-2971,-2298,-2473,-4052,-3603,0,0,-1,0,0,-3,0,0,0,7,-1481,-2052,-70,-9
",NA1_5302752186",1699,",420",",CLASSIC",0,1,0,20,45,-131,-300,-66,135,832,144,765,-100,-234,-369,961,-107,0,0,-1,0,0,-3,0,0,0,6,-300,1065,-872,-9
",NA1_5302781006",1341,",420",",CLASSIC",0,0,-5,-91,-651,-23,-802,-1590,-2394,-3003,-3199,-3198,-2691,-3897,-5148,-6109,-7098,0,0,-1,0,0,-3,0,0,0,6,-802,-2396,-3900,-9
",NA1_5302794482",1861,",420",",CLASSIC",0,1,0,4,107,555,82,-51,152,1229,1464,529,829,621,1788,1701,1891,0,0,-1,0,0,-1,0,0,0,3,82,447,1362,-3
",NA1_5302822750",2126,",420",",CLASSIC",0,0,0,-38,386,774,1383,1278,1831,1775,1156,1251,1538,2714,3045,2934,2796,0,0,-1,0,0,-3,0,0,0,5,1383,-132,1545,-9
",NA1_5302883944",2584,",420",",CLASSIC",0,0,0,58,114,-82,122,91,415,348,424,1840,872,1150,-225,176,840,0,0,-1,0,0,-3,0,0,0,7,122,1718,-1000,-9
",NA1_5302918184",1881,",420",",CLASSIC",0,1,0,66,-57,105,-510,275,836,273,295,811,671,1239,1759,-158,486,0,0,-1,0,0,-3,0,0,0,6,-510,1321,-325,-9
",NA1_5302947319",1225,",420",",CLASSIC",0,1,0,-36,-130,159,-355,399,1252,2642,3717,3687,3573,5005,5024,5578,6049,0,0,-1,0,0,-3,0,0,0,6,-355,4042,2362,-9
",NA1_5302965698",1631,",420",",CLASSIC",0,0,0,-49,38,242,-894,-561,-721,-2334,-3838,-4640,-3579,-3339,-4081,-5020,-4020,0,0,-1,0,0,-3,0,0,0,5,-894,-3746,620,-9
",NA1_5303028118",1643,",420",",CLASSIC",0,1,0,360,589,1194,1628,2482,3949,3827,4409,4543,3431,2314,778,1541,1615,0,0,-1,0,0,-3,0,0,0,6,1628,2915,-2928,-9
",NA1_5303042410",1618,",420",",CLASSIC",0,0,10,19,372,720,720,1099,-334,-1010,-380,-952,-693,-1280,-3029,-3991,-3950,0,0,-1,0,0,-3,0,0,0,7,720,-1672,-2998,-9
",NA1_5303062186",976,",420",",CLASSIC",0,0,0,-4,702,512,459,-744,-264,-1296,-1248,-890,-1521,-1295,-1447,-2153,-3454,0,0,-1,0,0,-3,0,0,0,6,459,-1349,-2564,-9
",NA1_5303073199",2029,",420",",CLASSIC",0,1,0,-65,-73,-1445,-1201,-1705,-1424,-827,-1747,-2125,-1097,-955,-209,-831,507,0,0,-1,0,0,-3,0,0,0,7,-1201,-924,2632,-9
",NA1_5303104914",1694,",420",",CLASSIC",0,1,-5,-99,-146,-1329,-1968,-2695,-2464,-1704,-2010,-1631,-970,-517,-425,433,724,0,0,-1,0,0,-3,0,0,0,6,-1968,337,2355,-9
",NA1_5303136501",1613,",420",",CLASSIC",0,0,0,61,-197,-224,-704,-659,-639,-1464,-1206,-677,-575,-2153,-2952,-3969,-4973,0,0,-1,0,0,-3,0,0,0,4,-704,27,-4296,-9
",NA1_5303141133",1227,",420",",CLASSIC",0,0,0,-41,-86,474,700,-342,-178,145,-195,-154,437,-803,-602,563,-493,0,0,-1,0,0,-3,0,0,0,5,700,-854,-339,-9
",NA1_5303214719",911,",420",",CLASSIC",0,0,5,-954,-1298,-1917,-3658,-3981,-4783,-4996,-6641,-8449,-9011,-11332,-12252,-13588,-13233,0,0,-1,0,0,-1,0,0,0,4,-3658,-4791,-4784,-3
",NA1_5303237745",1736,",420",",CLASSIC",0,0,-5,-426,-364,-486,132,-502,-598,-117,-540,-1069,-1378,-2154,-2654,-1804,-2216,0,0,-1,0,0,-1,0,0,0,2,132,-1201,-1147,-3
",NA1_5303254735",1443,",420",",CLASSIC",0,1,0,20,-133,-806,-872,-1213,-1488,-1006,-1115,-750,-1333,-1404,-1009,-1554,-926,0,0,-1,0,0,-3,0,0,0,5,-872,122,-176,-9
",NA1_5303368137",1703,",420",",CLASSIC",0,0,5,-46,-170,-413,-319,-865,-980,-762,-2571,-2003,-2702,-2755,-2542,-2740,-3474,0,0,-1,0,0,-1,0,0,0,4,-319,-1684,-1471,-3
",NA1_5303384694",1777,",420",",CLASSIC",0,0,0,-215,-770,-606,-1326,-1509,-1946,-2300,-2761,-2397,-3741,-4055,-4696,-3953,-4363,0,0,-1,0,0,-1,0,0,0,6,-1326,-1071,-1966,-3
",NA1_5303542196",1374,",420",",CLASSIC",0,0,0,-77,235,193,514,-37,-221,-167,-389,-1516,-2591,-3512,-3484,-4367,-4545,0,0,-1,0,0,-1,0,0,0,4,514,-2030,-3029,-3
",NA1_5303609086",1816,",420",",CLASSIC",0,1,0,-41,321,633,412,730,551,763,1354,936,1677,3370,4140,3393,4138,0,0,-1,0,0,-3,0,0,0,5,412,524,3202,-9
",NA1_5303640790",1726,",420",",CLASSIC",0,1,0,-100,-516,-646,-1204,-836,-1535,-333,-1054,-695,-276,-363,686,2822,4080,0,0,-1,0,0,-3,0,0,0,6,-1204,509,4775,-9
",NA1_5303663698",1692,",420",",CLASSIC",0,1,-5,-37,-316,-803,-589,-530,-511,-266,-704,-899,-601,-46,-743,-1104,-558,0,0,-1,0,0,-1,0,0,0,2,-589,-310,341,-3
",NA1_5303709320",1549,",420",",CLASSIC",0,0,0,55,37,-870,-789,-383,-725,-1108,-1798,-2080,-1661,-2399,-3278,-3342,-3826,0,0,-1,0,0,-3,0,0,0,4,-789,-1291,-1746,-9
",NA1_5303789132",1946,",420",",CLASSIC",0,0,-5,114,-5,10,14,171,400,302,-1202,-1933,-1709,-1473,-268,327,1285,0,0,-1,0,0,-3,0,0,0,6,14,-1947,3218,-9
",NA1_5304013170",1746,",420",",CLASSIC",0,0,0,-50,-95,414,44,606,-198,-1008,-104,-644,-374,-576,-700,-972,-1498,0,0,-1,0,0,-3,0,0,0,5,44,-688,-854,-9
",NA1_5304028682",1656,",420",",CLASSIC",0,0,0,-121,570,598,698,948,112,-482,-268,-45,-271,-1045,-2345,-2695,-2409,0,0,-1,0,0,-1,0,0,0,6,698,-743,-2364,-3
",NA1_5304203576",1682,",420",",CLASSIC",0,1,0,92,355,24,-701,-575,39,-152,-138,-524,-1838,-1162,-1557,-1647,-1527,0,0,-1,0,0,-1,0,0,0,5,-701,177,-1003,-3
",NA1_5304234064",109,",420",",CLASSIC",0,1,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
",NA1_5304263132",1621,",420",",CLASSIC",0,1,0,43,37,442,69,137,655,1179,-495,-1020,-1978,93,-1161,-712,-1161,0,0,-1,0,0,-3,0,0,0,7,69,-1089,-141,-9
",NA1_5304304487",2039,",420",",CLASSIC",0,1,395,220,83,179,37,216,231,796,196,897,1292,1651,1262,2781,2332,0,0,-1,0,0,-3,0,0,0,4,37,860,1435,-9
",NA1_5304324144",1652,",420",",CLASSIC",0,0,0,-33,262,372,-285,-437,-474,-313,821,303,435,432,-907,-1256,-571,0,0,-1,0,0,-3,0,0,0,5,-285,588,-874,-9
",NA1_5304386315",928,",420",",CLASSIC",0,1,0,99,72,760,1993,1995,2756,3859,4437,4354,4919,5932,5979,7966,8512,0,0,-1,0,0,-3,0,0,0,6,1993,2361,4158,-9
",NA1_5304420875",1278,",420",",CLASSIC",0,0,0,-128,-378,-154,-458,-272,93,45,-246,504,815,517,1116,261,-1498,0,0,-1,0,0,-3,0,0,0,5,-458,962,-2002,-9
",NA1_5304452329",1507,",420",",CLASSIC",0,0,0,12,27,-215,192,-22,415,508,314,-952,-942,-1659,-1940,-1727,-3169,0,0,-1,0,0,-1,0,0,0,2,192,-1144,-2217,-3
",NA1_5304659749",1548,",420",",CLASSIC",0,0,-15,133,263,275,1074,593,1401,1280,277,746,49,38,300,-228,-1328,0,0,-1,0,0,-1,0,0,0,1,1074,-328,-2074,-3
",NA1_5304763974",1710,",420",",CLASSIC",0,1,0,1,-190,-1,-154,-274,-982,-1936,-2106,-1575,-961,-1100,-1008,-959,-700,0,0,-1,0,0,-3,0,0,0,5,-154,-1421,875,-9
",NA1_5304823426",1849,",420",",CLASSIC",0,1,0,119,951,1451,1823,1222,806,370,237,525,82,-336,333,-2149,-393,0,0,-1,0,0,-3,0,0,0,6,1823,-1298,-918,-9
",NA1_5304841423",2196,",420",",CLASSIC",0,1,0,16,-428,132,437,800,1165,884,1173,1305,1779,1902,1617,2162,1883,0,0,-1,0,0,-3,0,0,0,5,437,868,578,-9
",NA1_5304858435",1765,",420",",CLASSIC",0,1,5,57,180,9,246,147,-466,-393,-391,-1,-968,-370,-390,-768,-1591,0,0,-1,0,0,-3,0,0,0,4,246,-247,-1590,-9
",NA1_5304882273",1151,",420",",CLASSIC",0,0,-5,-50,28,313,668,352,-169,336,103,-529,-724,-1995,-3507,-2043,-3168,0,0,-1,0,0,-3,0,0,0,8,668,-1197,-2639,-9
",NA1_5304905816",1945,",420",",CLASSIC",0,0,-5,-32,-395,-532,-631,229,345,-790,-744,-1813,-1715,-1085,-1300,-252,-1332,0,0,-1,0,0,-3,0,0,0,5,-631,-1182,481,-9
",NA1_5304922199",1675,",420",",CLASSIC",0,0,5,40,-80,81,-608,-1608,-2350,-2018,-1984,-1495,-824,-548,-591,-736,248,0,0,-1,0,0,-3,0,0,0,6,-608,-887,1743,-9
",NA1_5304935242",1479,",420",",CLASSIC",0,0,0,99,-69,477,716,521,-344,-437,-132,-704,-564,-719,-745,-1951,-3494,0,0,-1,0,0,-1,0,0,0,4,716,-1420,-2790,-3
",NA1_5304948729",1123,",420",",CLASSIC",0,0,0,-77,-45,-1708,-1711,-2201,-1909,-2470,-2614,-2583,-2379,-2848,-2629,-3117,-3043,0,0,-1,0,0,-1,0,0,0,1,-1711,-872,-460,-3
",NA1_5304977315",1841,",420",",CLASSIC",0,0,-5,52,-362,-275,-635,-588,-23,-125,-725,-694,88,230,351,-879,-1469,0,0,-1,0,0,-1,0,0,0,3,-635,-59,-775,-3
",NA1_5304979963",1778,",420",",CLASSIC",0,0,0,-123,-248,-297,-306,-1422,-1076,-1346,-1319,-1356,-2366,-3078,-1874,-2495,-2999,0,0,-1,0,0,-3,0,0,0,6,-306,-1050,-1643,-9
",NA1_5304993905",1782,",420",",CLASSIC",0,0,0,169,-451,-654,-540,-330,-481,-822,-191,-374,-2252,-2681,-1707,-1064,-2178,0,0,-1,0,0,-3,0,0,0,4,-540,166,-1804,-9
",NA1_5305008114",512,",420",",CLASSIC",0,1,0,-34,177,197,125,488,630,2426,3197,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,2,125,-125,0,-3
",NA1_5305018782",3002,",420",",CLASSIC",0,0,-5,-22,-91,-210,-575,-533,-739,-888,-997,-952,-890,-1661,-1424,-1458,845,0,0,-1,0,0,-3,0,0,0,4,-575,-377,1797,-9
",NA1_5305025329",960,",420",",CLASSIC",0,1,0,-28,-107,-946,-652,-392,487,896,1225,1551,1872,2910,3005,4583,4679,0,0,-1,0,0,-1,0,0,0,5,-652,2203,3128,-3
",NA1_5305062926",1524,",420",",CLASSIC",0,0,0,40,-44,890,1569,1244,44,92,-216,231,371,-212,604,-778,-304,0,0,-1,0,0,-3,0,0,0,6,1569,-1338,-535,-9
",NA1_5305195798",1544,",420",",CLASSIC",0,1,0,-71,-809,-748,-306,-509,258,-163,-675,-875,-617,-877,-1033,-414,2069,0,0,-1,0,0,-3,0,0,0,5,-306,-569,2944,-9
",NA1_5305208887",943,",420",",CLASSIC",0,0,0,-19,-124,-945,-2871,-3133,-3727,-4968,-5211,-5607,-6210,-7754,-8238,-9395,-10722,0,0,-1,0,0,-1,0,0,0,6,-2871,-2736,-5115,-3
